LotArea,Utilities,Id_ Property,Id
8450,AllPub,1,P00001
9600,AllPub,2,P00002
11250,AllPub,3,P00003
9550,AllPub,4,P00004
14260,AllPub,5,P00005
14115,AllPub,6,P00006
10084,AllPub,7,P00007
10382,AllPub,8,P00008
6120,AllPub,9,P00009
7420,AllPub,10,P00010
11200,AllPub,11,P00011
11924,AllPub,12,P00012
12968,AllPub,13,P00013
10652,AllPub,14,P00014
10920,AllPub,15,P00015
6120,AllPub,16,P00016
11241,AllPub,17,P00017
10791,AllPub,18,P00018
13695,AllPub,19,P00019
7560,AllPub,20,P00020
14215,AllPub,21,P00021
7449,AllPub,22,P00022
9742,AllPub,23,P00023
4224,AllPub,24,P00024
8246,AllPub,25,P00025
14230,AllPub,26,P00026
7200,AllPub,27,P00027
11478,AllPub,28,P00028
16321,AllPub,29,P00029
6324,AllPub,30,P00030
8500,AllPub,31,P00031
8544,AllPub,32,P00032
11049,AllPub,33,P00033
10552,AllPub,34,P00034
7313,AllPub,35,P00035
13418,AllPub,36,P00036
10859,AllPub,37,P00037
8532,AllPub,38,P00038
7922,AllPub,39,P00039
6040,AllPub,40,P00040
8658,AllPub,41,P00041
16905,AllPub,42,P00042
9180,AllPub,43,P00043
9200,AllPub,44,P00044
7945,AllPub,45,P00045
7658,AllPub,46,P00046
12822,AllPub,47,P00047
11096,AllPub,48,P00048
4456,AllPub,49,P00049
7742,AllPub,50,P00050
13869,AllPub,51,P00051
6240,AllPub,52,P00052
8472,AllPub,53,P00053
50271,AllPub,54,P00054
7134,AllPub,55,P00055
10175,AllPub,56,P00056
2645,AllPub,57,P00057
11645,AllPub,58,P00058
13682,AllPub,59,P00059
7200,AllPub,60,P00060
13072,AllPub,61,P00061
7200,AllPub,62,P00062
6442,AllPub,63,P00063
10300,AllPub,64,P00064
9375,AllPub,65,P00065
9591,AllPub,66,P00066
19900,AllPub,67,P00067
10665,AllPub,68,P00068
4608,AllPub,69,P00069
15593,AllPub,70,P00070
13651,AllPub,71,P00071
7599,AllPub,72,P00072
10141,AllPub,73,P00073
10200,AllPub,74,P00074
5790,AllPub,75,P00075
1596,AllPub,76,P00076
8475,AllPub,77,P00077
8635,AllPub,78,P00078
10778,AllPub,79,P00079
10440,AllPub,80,P00080
13000,AllPub,81,P00081
4500,AllPub,82,P00082
10206,AllPub,83,P00083
8892,AllPub,84,P00084
8530,AllPub,85,P00085
16059,AllPub,86,P00086
11911,AllPub,87,P00087
3951,AllPub,88,P00088
8470,AllPub,89,P00089
8070,AllPub,90,P00090
7200,AllPub,91,P00091
8500,AllPub,92,P00092
13360,AllPub,93,P00093
7200,AllPub,94,P00094
9337,AllPub,95,P00095
9765,AllPub,96,P00096
10264,AllPub,97,P00097
10921,AllPub,98,P00098
10625,AllPub,99,P00099
9320,AllPub,100,P00100
10603,AllPub,101,P00101
9206,AllPub,102,P00102
7018,AllPub,103,P00103
10402,AllPub,104,P00104
7758,AllPub,105,P00105
9375,AllPub,106,P00106
10800,AllPub,107,P00107
6000,AllPub,108,P00108
8500,AllPub,109,P00109
11751,AllPub,110,P00110
9525,AllPub,111,P00111
7750,AllPub,112,P00112
9965,AllPub,113,P00113
21000,AllPub,114,P00114
7259,AllPub,115,P00115
3230,AllPub,116,P00116
11616,AllPub,117,P00117
8536,AllPub,118,P00118
12376,AllPub,119,P00119
8461,AllPub,120,P00120
21453,AllPub,121,P00121
6060,AllPub,122,P00122
9464,AllPub,123,P00123
7892,AllPub,124,P00124
17043,AllPub,125,P00125
6780,AllPub,126,P00126
4928,AllPub,127,P00127
4388,AllPub,128,P00128
7590,AllPub,129,P00129
8973,AllPub,130,P00130
14200,AllPub,131,P00131
12224,AllPub,132,P00132
7388,AllPub,133,P00133
6853,AllPub,134,P00134
10335,AllPub,135,P00135
10400,AllPub,136,P00136
10355,AllPub,137,P00137
11070,AllPub,138,P00138
9066,AllPub,139,P00139
15426,AllPub,140,P00140
10500,AllPub,141,P00141
11645,AllPub,142,P00142
8520,AllPub,143,P00143
10335,AllPub,144,P00144
9100,AllPub,145,P00145
2522,AllPub,146,P00146
6120,AllPub,147,P00147
9505,AllPub,148,P00148
7500,AllPub,149,P00149
6240,AllPub,150,P00150
10356,AllPub,151,P00151
13891,AllPub,152,P00152
14803,AllPub,153,P00153
13500,AllPub,154,P00154
11340,AllPub,155,P00155
9600,AllPub,156,P00156
7200,AllPub,157,P00157
12003,AllPub,158,P00158
12552,AllPub,159,P00159
19378,AllPub,160,P00160
11120,AllPub,161,P00161
13688,AllPub,162,P00162
12182,AllPub,163,P00163
5500,AllPub,164,P00164
5400,AllPub,165,P00165
10106,AllPub,166,P00166
10708,AllPub,167,P00167
10562,AllPub,168,P00168
8244,AllPub,169,P00169
16669,AllPub,170,P00170
12358,AllPub,171,P00171
31770,AllPub,172,P00172
5306,AllPub,173,P00173
10197,AllPub,174,P00174
12416,AllPub,175,P00175
12615,AllPub,176,P00176
10029,AllPub,177,P00177
13650,AllPub,178,P00178
17423,AllPub,179,P00179
8520,AllPub,180,P00180
2117,AllPub,181,P00181
7588,AllPub,182,P00182
9060,AllPub,183,P00183
11426,AllPub,184,P00184
7438,AllPub,185,P00185
22950,AllPub,186,P00186
9947,AllPub,187,P00187
10410,AllPub,188,P00188
7018,AllPub,189,P00189
4923,AllPub,190,P00190
10570,AllPub,191,P00191
7472,AllPub,192,P00192
9017,AllPub,193,P00193
2522,AllPub,194,P00194
7180,AllPub,195,P00195
2280,AllPub,196,P00196
9416,AllPub,197,P00197
25419,AllPub,198,P00198
5520,AllPub,199,P00199
9591,AllPub,200,P00200
8546,AllPub,201,P00201
10125,AllPub,202,P00202
7000,AllPub,203,P00203
4438,AllPub,204,P00204
3500,AllPub,205,P00205
11851,AllPub,206,P00206
13673,AllPub,207,P00207
12493,AllPub,208,P00208
14364,AllPub,209,P00209
8250,AllPub,210,P00210
5604,AllPub,211,P00211
10420,AllPub,212,P00212
8640,AllPub,213,P00213
13568,AllPub,214,P00214
10900,AllPub,215,P00215
10011,AllPub,216,P00216
8450,AllPub,217,P00217
9906,AllPub,218,P00218
15660,AllPub,219,P00219
3010,AllPub,220,P00220
8990,AllPub,221,P00221
8068,AllPub,222,P00222
11475,AllPub,223,P00223
10500,AllPub,224,P00224
13472,AllPub,225,P00225
1680,AllPub,226,P00226
9950,AllPub,227,P00227
1869,AllPub,228,P00228
8521,AllPub,229,P00229
3182,AllPub,230,P00230
8760,AllPub,231,P00231
15138,AllPub,232,P00232
1680,AllPub,233,P00233
10650,AllPub,234,P00234
7851,AllPub,235,P00235
1680,AllPub,236,P00236
8773,AllPub,237,P00237
9453,AllPub,238,P00238
12030,AllPub,239,P00239
8741,AllPub,240,P00240
9000,AllPub,241,P00241
3880,AllPub,242,P00242
5000,AllPub,243,P00243
10762,AllPub,244,P00244
8880,AllPub,245,P00245
10400,AllPub,246,P00246
9142,AllPub,247,P00247
11310,AllPub,248,P00248
11317,AllPub,249,P00249
159000,AllPub,250,P00250
5350,AllPub,251,P00251
4750,AllPub,252,P00252
8366,AllPub,253,P00253
9350,AllPub,254,P00254
8400,AllPub,255,P00255
8738,AllPub,256,P00256
8791,AllPub,257,P00257
8814,AllPub,258,P00258
12435,AllPub,259,P00259
12702,AllPub,260,P00260
19296,AllPub,261,P00261
9588,AllPub,262,P00262
8471,AllPub,263,P00263
5500,AllPub,264,P00264
5232,AllPub,265,P00265
12090,AllPub,266,P00266
11207,AllPub,267,P00267
8400,AllPub,268,P00268
6900,AllPub,269,P00269
7917,AllPub,270,P00270
10728,AllPub,271,P00271
39104,AllPub,272,P00272
11764,AllPub,273,P00273
9600,AllPub,274,P00274
8314,AllPub,275,P00275
7264,AllPub,276,P00276
9196,AllPub,277,P00277
19138,AllPub,278,P00278
14450,AllPub,279,P00279
10005,AllPub,280,P00280
11287,AllPub,281,P00281
7200,AllPub,282,P00282
5063,AllPub,283,P00283
9612,AllPub,284,P00284
8012,AllPub,285,P00285
4251,AllPub,286,P00286
9786,AllPub,287,P00287
8125,AllPub,288,P00288
9819,AllPub,289,P00289
8730,AllPub,290,P00290
15611,AllPub,291,P00291
5687,AllPub,292,P00292
11409,AllPub,293,P00293
16659,AllPub,294,P00294
9600,AllPub,295,P00295
7937,AllPub,296,P00296
13710,AllPub,297,P00297
7399,AllPub,298,P00298
11700,AllPub,299,P00299
14000,AllPub,300,P00300
15750,AllPub,301,P00301
16226,AllPub,302,P00302
13704,AllPub,303,P00303
9800,AllPub,304,P00304
18386,AllPub,305,P00305
10386,AllPub,306,P00306
13474,AllPub,307,P00307
7920,AllPub,308,P00308
12342,AllPub,309,P00309
12378,AllPub,310,P00310
7685,AllPub,311,P00311
8000,AllPub,312,P00312
7800,AllPub,313,P00313
215245,AllPub,314,P00314
9600,AllPub,315,P00315
7795,AllPub,316,P00316
13005,AllPub,317,P00317
9000,AllPub,318,P00318
9900,AllPub,319,P00319
14115,AllPub,320,P00320
16259,AllPub,321,P00321
12099,AllPub,322,P00322
10380,AllPub,323,P00323
5820,AllPub,324,P00324
11275,AllPub,325,P00325
5000,AllPub,326,P00326
10846,AllPub,327,P00327
11600,AllPub,328,P00328
11888,AllPub,329,P00329
6402,AllPub,330,P00330
10624,AllPub,331,P00331
8176,AllPub,332,P00332
10655,AllPub,333,P00333
8198,AllPub,334,P00334
9042,AllPub,335,P00335
164660,AllPub,336,P00336
14157,AllPub,337,P00337
9135,AllPub,338,P00338
14145,AllPub,339,P00339
12400,AllPub,340,P00340
14191,AllPub,341,P00341
8400,AllPub,342,P00342
8544,AllPub,343,P00343
8849,AllPub,344,P00344
2592,AllPub,345,P00345
6435,AllPub,346,P00346
12772,AllPub,347,P00347
17600,AllPub,348,P00348
2448,AllPub,349,P00349
20431,AllPub,350,P00350
7820,AllPub,351,P00351
5271,AllPub,352,P00352
9084,AllPub,353,P00353
8520,AllPub,354,P00354
8400,AllPub,355,P00355
11249,AllPub,356,P00356
9248,AllPub,357,P00357
4224,AllPub,358,P00358
6930,AllPub,359,P00359
12011,AllPub,360,P00360
7540,AllPub,361,P00361
9144,AllPub,362,P00362
7301,AllPub,363,P00363
1680,AllPub,364,P00364
18800,AllPub,365,P00365
10690,AllPub,366,P00366
9500,AllPub,367,P00367
9150,AllPub,368,P00368
7800,AllPub,369,P00369
9830,AllPub,370,P00370
8121,AllPub,371,P00371
17120,AllPub,372,P00372
7175,AllPub,373,P00373
10634,AllPub,374,P00374
8200,AllPub,375,P00375
10020,AllPub,376,P00376
8846,AllPub,377,P00377
11143,AllPub,378,P00378
11394,AllPub,379,P00379
8123,AllPub,380,P00380
5000,AllPub,381,P00381
7200,AllPub,382,P00382
9245,AllPub,383,P00383
9000,AllPub,384,P00384
53107,AllPub,385,P00385
3182,AllPub,386,P00386
8410,AllPub,387,P00387
7200,AllPub,388,P00388
9382,AllPub,389,P00389
12474,AllPub,390,P00390
8405,AllPub,391,P00391
12209,AllPub,392,P00392
8339,AllPub,393,P00393
7446,AllPub,394,P00394
10134,AllPub,395,P00395
9571,AllPub,396,P00396
7200,AllPub,397,P00397
7590,AllPub,398,P00398
8967,AllPub,399,P00399
8125,AllPub,400,P00400
14963,AllPub,401,P00401
8767,AllPub,402,P00402
10200,AllPub,403,P00403
12090,AllPub,404,P00404
10364,AllPub,405,P00405
9991,AllPub,406,P00406
10480,AllPub,407,P00407
15576,AllPub,408,P00408
14154,AllPub,409,P00409
10800,AllPub,410,P00410
9571,AllPub,411,P00411
34650,AllPub,412,P00412
4403,AllPub,413,P00413
8960,AllPub,414,P00414
11228,AllPub,415,P00415
8899,AllPub,416,P00416
7844,AllPub,417,P00417
22420,AllPub,418,P00418
8160,AllPub,419,P00419
8450,AllPub,420,P00420
7060,AllPub,421,P00421
16635,AllPub,422,P00422
21750,AllPub,423,P00423
9200,AllPub,424,P00424
9000,AllPub,425,P00425
3378,AllPub,426,P00426
12800,AllPub,427,P00427
8593,AllPub,428,P00428
6762,AllPub,429,P00429
11457,AllPub,430,P00430
1680,AllPub,431,P00431
5586,AllPub,432,P00432
1920,AllPub,433,P00433
10839,AllPub,434,P00434
1890,AllPub,435,P00435
10667,AllPub,436,P00436
4400,AllPub,437,P00437
6000,AllPub,438,P00438
4280,AllPub,439,P00439
12354,AllPub,440,P00440
15431,AllPub,441,P00441
12108,AllPub,442,P00442
6240,AllPub,443,P00443
3922,AllPub,444,P00444
8750,AllPub,445,P00445
9855,AllPub,446,P00446
16492,AllPub,447,P00447
11214,AllPub,448,P00448
8600,AllPub,449,P00449
6000,AllPub,450,P00450
5684,AllPub,451,P00451
70761,AllPub,452,P00452
9303,AllPub,453,P00453
9000,AllPub,454,P00454
9297,AllPub,455,P00455
9600,AllPub,456,P00456
4571,AllPub,457,P00457
53227,AllPub,458,P00458
5100,AllPub,459,P00459
7015,AllPub,460,P00460
8004,AllPub,461,P00461
7200,AllPub,462,P00462
8281,AllPub,463,P00463
11988,AllPub,464,P00464
8430,AllPub,465,P00465
3072,AllPub,466,P00466
10628,AllPub,467,P00467
9480,AllPub,468,P00468
11428,AllPub,469,P00469
9291,AllPub,470,P00470
6820,AllPub,471,P00471
11952,AllPub,472,P00472
3675,AllPub,473,P00473
14977,AllPub,474,P00474
5330,AllPub,475,P00475
8480,AllPub,476,P00476
13125,AllPub,477,P00477
13693,AllPub,478,P00478
10637,AllPub,479,P00479
5925,AllPub,480,P00480
16033,AllPub,481,P00481
11846,AllPub,482,P00482
2500,AllPub,483,P00483
4500,AllPub,484,P00484
7758,AllPub,485,P00485
9600,AllPub,486,P00486
10289,AllPub,487,P00487
12243,AllPub,488,P00488
10800,AllPub,489,P00489
1526,AllPub,490,P00490
2665,AllPub,491,P00491
9490,AllPub,492,P00492
15578,AllPub,493,P00493
7931,AllPub,494,P00494
5784,AllPub,495,P00495
7879,AllPub,496,P00496
12692,AllPub,497,P00497
9120,AllPub,498,P00498
7800,AllPub,499,P00499
7535,AllPub,500,P00500
1890,AllPub,501,P00501
9803,AllPub,502,P00502
9170,AllPub,503,P00503
15602,AllPub,504,P00504
2308,AllPub,505,P00505
7596,AllPub,506,P00506
9554,AllPub,507,P00507
7862,AllPub,508,P00508
9600,AllPub,509,P00509
9600,AllPub,510,P00510
14559,AllPub,511,P00511
6792,AllPub,512,P00512
9100,AllPub,513,P00513
9187,AllPub,514,P00514
10594,AllPub,515,P00515
12220,AllPub,516,P00516
10448,AllPub,517,P00517
10208,AllPub,518,P00518
9531,AllPub,519,P00519
10918,AllPub,520,P00520
10800,AllPub,521,P00521
11988,AllPub,522,P00522
5000,AllPub,523,P00523
40094,AllPub,524,P00524
11787,AllPub,525,P00525
7500,AllPub,526,P00526
13300,AllPub,527,P00527
14948,AllPub,528,P00528
9098,AllPub,529,P00529
32668,AllPub,530,P00530
10200,AllPub,531,P00531
6155,AllPub,532,P00532
7200,AllPub,533,P00533
5000,AllPub,534,P00534
9056,AllPub,535,P00535
7000,AllPub,536,P00536
8924,AllPub,537,P00537
12735,AllPub,538,P00538
11553,AllPub,539,P00539
11423,AllPub,540,P00540
14601,AllPub,541,P00541
11000,AllPub,542,P00542
10140,AllPub,543,P00543
4058,AllPub,544,P00544
17104,AllPub,545,P00545
13837,AllPub,546,P00546
8737,AllPub,547,P00547
7244,AllPub,548,P00548
8235,AllPub,549,P00549
9375,AllPub,550,P00550
4043,AllPub,551,P00551
6000,AllPub,552,P00552
11146,AllPub,553,P00553
8777,AllPub,554,P00554
10625,AllPub,555,P00555
6380,AllPub,556,P00556
14850,AllPub,557,P00557
11040,AllPub,558,P00558
21872,AllPub,559,P00559
3196,AllPub,560,P00560
11341,AllPub,561,P00561
10010,AllPub,562,P00562
13907,AllPub,563,P00563
21780,AllPub,564,P00564
13346,AllPub,565,P00565
6858,AllPub,566,P00566
11198,AllPub,567,P00567
10171,AllPub,568,P00568
12327,AllPub,569,P00569
7032,AllPub,570,P00570
13101,AllPub,571,P00571
7332,AllPub,572,P00572
13159,AllPub,573,P00573
9967,AllPub,574,P00574
10500,AllPub,575,P00575
8480,AllPub,576,P00576
6292,AllPub,577,P00577
11777,AllPub,578,P00578
3604,AllPub,579,P00579
12150,AllPub,580,P00580
14585,AllPub,581,P00581
12704,AllPub,582,P00582
11841,AllPub,583,P00583
13500,AllPub,584,P00584
6120,AllPub,585,P00585
11443,AllPub,586,P00586
10267,AllPub,587,P00587
8740,AllPub,588,P00588
25095,AllPub,589,P00589
9100,AllPub,590,P00590
8320,AllPub,591,P00591
13478,AllPub,592,P00592
6600,AllPub,593,P00593
4435,AllPub,594,P00594
7990,AllPub,595,P00595
11302,AllPub,596,P00596
3600,AllPub,597,P00597
3922,AllPub,598,P00598
12984,AllPub,599,P00599
1950,AllPub,600,P00600
10927,AllPub,601,P00601
9000,AllPub,602,P00602
10041,AllPub,603,P00603
3182,AllPub,604,P00604
12803,AllPub,605,P00605
13600,AllPub,606,P00606
12464,AllPub,607,P00607
7800,AllPub,608,P00608
12168,AllPub,609,P00609
7943,AllPub,610,P00610
11050,AllPub,611,P00611
10395,AllPub,612,P00612
11885,AllPub,613,P00613
8402,AllPub,614,P00614
1491,AllPub,615,P00615
8800,AllPub,616,P00616
7861,AllPub,617,P00617
7227,AllPub,618,P00618
11694,AllPub,619,P00619
12244,AllPub,620,P00620
8248,AllPub,621,P00621
10800,AllPub,622,P00622
7064,AllPub,623,P00623
2117,AllPub,624,P00624
10400,AllPub,625,P00625
10000,AllPub,626,P00626
12342,AllPub,627,P00627
9600,AllPub,628,P00628
11606,AllPub,629,P00629
9020,AllPub,630,P00630
9000,AllPub,631,P00631
4590,AllPub,632,P00632
11900,AllPub,633,P00633
9250,AllPub,634,P00634
6979,AllPub,635,P00635
10896,AllPub,636,P00636
6120,AllPub,637,P00637
6000,AllPub,638,P00638
8777,AllPub,639,P00639
3982,AllPub,640,P00640
12677,AllPub,641,P00641
7050,AllPub,642,P00642
13860,AllPub,643,P00643
10793,AllPub,644,P00644
9187,AllPub,645,P00645
10530,AllPub,646,P00646
7200,AllPub,647,P00647
10452,AllPub,648,P00648
7700,AllPub,649,P00649
1936,AllPub,650,P00650
8125,AllPub,651,P00651
9084,AllPub,652,P00652
8750,AllPub,653,P00653
10320,AllPub,654,P00654
10437,AllPub,655,P00655
1680,AllPub,656,P00656
10007,AllPub,657,P00657
7200,AllPub,658,P00658
17503,AllPub,659,P00659
9937,AllPub,660,P00660
12384,AllPub,661,P00661
46589,AllPub,662,P00662
13560,AllPub,663,P00663
10012,AllPub,664,P00664
20896,AllPub,665,P00665
11194,AllPub,666,P00666
18450,AllPub,667,P00667
8125,AllPub,668,P00668
14175,AllPub,669,P00669
11600,AllPub,670,P00670
8633,AllPub,671,P00671
6629,AllPub,672,P00672
11250,AllPub,673,P00673
14442,AllPub,674,P00674
9200,AllPub,675,P00675
2289,AllPub,676,P00676
9600,AllPub,677,P00677
9022,AllPub,678,P00678
11844,AllPub,679,P00679
9945,AllPub,680,P00680
8012,AllPub,681,P00681
4500,AllPub,682,P00682
2887,AllPub,683,P00683
11248,AllPub,684,P00684
16770,AllPub,685,P00685
5062,AllPub,686,P00686
10207,AllPub,687,P00687
5105,AllPub,688,P00688
8089,AllPub,689,P00689
7577,AllPub,690,P00690
4426,AllPub,691,P00691
21535,AllPub,692,P00692
26178,AllPub,693,P00693
5400,AllPub,694,P00694
6120,AllPub,695,P00695
13811,AllPub,696,P00696
6000,AllPub,697,P00697
6420,AllPub,698,P00698
8450,AllPub,699,P00699
4282,AllPub,700,P00700
14331,AllPub,701,P00701
9600,AllPub,702,P00702
12438,AllPub,703,P00703
7630,AllPub,704,P00704
8400,AllPub,705,P00705
5600,AllPub,706,P00706
115149,AllPub,707,P00707
6240,AllPub,708,P00708
9018,AllPub,709,P00709
7162,AllPub,710,P00710
4130,AllPub,711,P00711
8712,AllPub,712,P00712
4671,AllPub,713,P00713
9873,AllPub,714,P00714
13517,AllPub,715,P00715
10140,AllPub,716,P00716
10800,AllPub,717,P00717
10000,AllPub,718,P00718
10542,AllPub,719,P00719
9920,AllPub,720,P00720
6563,AllPub,721,P00721
4426,AllPub,722,P00722
8120,AllPub,723,P00723
8172,AllPub,724,P00724
13286,AllPub,725,P00725
6960,AllPub,726,P00726
21695,AllPub,727,P00727
7314,AllPub,728,P00728
11475,AllPub,729,P00729
6240,AllPub,730,P00730
5389,AllPub,731,P00731
9590,AllPub,732,P00732
11404,AllPub,733,P00733
10000,AllPub,734,P00734
8978,AllPub,735,P00735
10800,AllPub,736,P00736
8544,AllPub,737,P00737
10463,AllPub,738,P00738
10800,AllPub,739,P00739
9313,AllPub,740,P00740
